 X for Y devs        BASIC          C++           C#        Cobol      Fortran         Java   Javascript         LISP       Python         Perl         Ruby
        BASIC            9          323            0        10302            0           11            0            0            0            0            0
          C++            5        14640         5150            7        16900       115800            0            0         7540         1800         2590
           C#            2        45400         2160            3            0      1374000            0            0            4            3            0
        Cobol            2            0            0            7            0            3            0            2            0            0            0
      Fortran            0            0            0            0            4            0            0            0            0            0            0
         Java           60        22500         4192        95213            8       284700            0           56        10498          519           12
   Javascript            0            0        12900            0            7        51700            5            0        14804            5           58
         LISP            2            7            0         3290            8         1361            0         4210            7         1400           37
       Python            7        10630           12            0        11600        16360         3873        21200           13        15100         2024
         Perl            0         1530            0            0            2         1810            0            6            6            0            8
         Ruby            0           77         2113            0            0        87090            0            0          258         5407        17800

