 X for Y devs        BASIC          C++           C#        Cobol         Java   Javascript         LISP       Python         Perl         Ruby
        BASIC            7          331            0        10502           12            0            0            0            0            0
          C++            5        15140         5260            8       114900            0            0         7570         1830         2620
           C#            2        46000         2200            3      1357000            0            0            4            3            0
        Cobol            0            0            0            7            3            0            0            0            0            0
         Java           62        21100         4185       537760       286200            0           55        10373          543           12
   Javascript            0            0        13360            0        52500            5            0        14604            5           57
         LISP            2            7            0         3280         1366            0         4400            7         1410           38
       Python            7        10910           12            0        16380         4203        22100           13        15600         1984
         Perl            0         1650            0            0         1799            0            5            6            0            8
         Ruby            0           78         2056            0        88120            0            0          292         5527        18500
